"Time","eth0_in下载","eth0_out上传"
2025-06-04 13:15:00,70.4,70.4
2025-06-04 13:20:00,4186,22931
2025-06-04 13:25:00,9763,280955
2025-06-04 13:30:00,28643,19309
2025-06-04 13:35:00,234,234
2025-06-04 13:40:00,13630,109585
2025-06-04 13:45:00,20501,14048
2025-06-04 13:50:00,211,211
2025-06-04 13:55:00,20465,14268
2025-06-04 14:00:00,20471,14426
2025-06-04 14:05:00,211,211
2025-06-04 14:10:00,198,198
2025-06-04 14:15:00,256,256
2025-06-04 14:20:00,234,234
2025-06-04 14:25:00,211,211
2025-06-04 14:30:00,256,256
2025-06-04 14:35:00,256,256
2025-06-04 14:40:00,4125,29824
2025-06-04 14:45:00,198,198
2025-06-04 14:50:00,256,256
2025-06-04 14:55:00,234,234
2025-06-04 15:00:00,234,234
2025-06-04 15:05:00,6928,49386
2025-06-04 15:10:00,211,211
2025-06-04 15:15:00,234,234
2025-06-04 15:20:00,234,234
2025-06-04 15:25:00,234,234
2025-06-04 15:30:00,3293,26079
2025-06-04 15:35:00,211,211
2025-06-04 15:40:00,234,234
2025-06-04 15:45:00,234,234
2025-06-04 15:50:00,234,234
2025-06-04 15:55:00,211,211
2025-06-04 16:00:00,234,234
2025-06-04 16:05:00,234,234
2025-06-04 16:10:00,234,234
2025-06-04 16:15:00,211,211
2025-06-04 16:20:00,211,211
2025-06-04 16:25:00,234,234
2025-06-04 16:30:00,3505,26285
2025-06-04 16:35:00,234,234
2025-06-04 16:40:00,234,234
2025-06-04 16:45:00,234,234
2025-06-04 16:50:00,211,211
2025-06-04 16:55:00,211,211
2025-06-04 17:00:00,211,211
2025-06-04 17:05:00,234,234
2025-06-04 17:10:00,211,211
2025-06-04 17:15:00,234,234
2025-06-04 17:20:00,256,256
2025-06-04 17:25:00,198,198
2025-06-04 17:30:00,234,234
2025-06-04 17:35:00,256,256
2025-06-04 17:40:00,211,211
2025-06-04 17:45:00,186,186
2025-06-04 17:50:00,211,211
2025-06-04 17:55:00,256,256
2025-06-04 18:00:00,234,234
2025-06-04 18:05:00,211,211
2025-06-04 18:10:00,211,422
2025-06-04 18:15:00,211,211
2025-06-04 18:20:00,234,234
2025-06-04 18:25:00,234,234
2025-06-04 18:30:00,234,234
2025-06-04 18:35:00,211,211
2025-06-04 18:40:00,234,234
2025-06-04 18:45:00,211,211
2025-06-04 18:50:00,211,211
2025-06-04 18:55:00,234,234
2025-06-04 19:00:00,211,211
2025-06-04 19:05:00,234,234
2025-06-04 19:10:00,234,234
2025-06-04 19:15:00,211,211
2025-06-04 19:20:00,234,234
2025-06-04 19:25:00,234,234
2025-06-04 19:30:00,211,211
2025-06-04 19:35:00,211,211
2025-06-04 19:40:00,6413,43592
2025-06-04 19:45:00,211,211
2025-06-04 19:50:00,211,211
2025-06-04 19:55:00,5966,44453
2025-06-04 20:00:00,5956,44381
2025-06-04 20:05:00,141,141
2025-06-04 20:10:00,26417,30499
2025-06-04 20:15:00,3274,25975
2025-06-04 20:20:00,211,211
2025-06-04 20:25:00,211,211
2025-06-04 20:30:00,221,221
2025-06-04 20:35:00,26428,31780
2025-06-04 20:40:00,26395,32066
2025-06-04 20:45:00,26147,31929
2025-06-04 20:50:00,234,234
2025-06-04 20:55:00,211,211
2025-06-04 21:00:00,256,256
2025-06-04 21:05:00,176,176
2025-06-04 21:10:00,211,211
2025-06-04 21:15:00,211,211
2025-06-04 21:20:00,6296,47477
2025-06-04 21:25:00,6344,46587
2025-06-04 21:30:00,5852,47874
2025-06-04 21:35:00,211,211
2025-06-04 21:40:00,534,1863
2025-06-04 21:45:00,3051,8489
2025-06-04 21:50:00,211,211
2025-06-04 21:55:00,28083,35188
2025-06-04 22:00:00,234,234
2025-06-04 22:05:00,211,211
2025-06-04 22:10:00,28134,35609
2025-06-04 22:15:00,211,211
2025-06-04 22:20:00,27920,35730
2025-06-04 22:25:00,27979,36225
2025-06-04 22:30:00,28556,36433
2025-06-04 22:35:00,28050,36570
2025-06-04 22:40:00,28189,36830
2025-06-04 22:45:00,28083,36764
2025-06-04 22:50:00,28081,37087
2025-06-04 22:55:00,28014,37146
2025-06-04 23:00:00,28011,37315
2025-06-04 23:05:00,28576,37584
2025-06-04 23:10:00,28436,37570
2025-06-04 23:15:00,28118,37764
2025-06-04 23:20:00,28210,38139
2025-06-04 23:25:00,28243,38233
2025-06-04 23:30:00,28189,38324
2025-06-04 23:35:00,28137,38713
2025-06-04 23:40:00,28280,39204
2025-06-04 23:45:00,28226,38943
2025-06-04 23:50:00,28779,39452
2025-06-04 23:55:00,28190,39249
2025-06-05 00:00:00,28387,39814
2025-06-05 00:05:00,28720,39805
2025-06-05 00:10:00,28208,40127
2025-06-05 00:15:00,28280,40029
2025-06-05 00:20:00,28173,40202
2025-06-05 00:25:00,28228,40580
2025-06-05 00:30:00,28118,40747
2025-06-05 00:35:00,28050,40558
2025-06-05 00:40:00,27963,40937
2025-06-05 00:45:00,28349,41354
2025-06-05 00:50:00,28118,41390
2025-06-05 00:55:00,27874,41318
2025-06-05 01:00:00,28192,41708
2025-06-05 01:05:00,28173,41814
2025-06-05 01:10:00,28243,42057
2025-06-05 01:15:00,28118,42013
2025-06-05 01:20:00,28400,42265
2025-06-05 01:25:00,28034,42425
2025-06-05 01:30:00,28278,42484
2025-06-05 01:35:00,28243,42751
2025-06-05 01:40:00,28333,42888
2025-06-05 01:45:00,28048,43000
2025-06-05 01:50:00,28350,43339
2025-06-05 01:55:00,28050,43326
2025-06-05 02:00:00,28315,43761
2025-06-05 02:05:00,28384,43851
2025-06-05 02:10:00,,
2025-06-05 02:15:00,,
2025-06-05 02:20:00,,
2025-06-05 02:25:00,,
2025-06-05 02:30:00,,
2025-06-05 02:35:00,,
2025-06-05 02:40:00,,
2025-06-05 02:45:00,,
2025-06-05 02:50:00,211,211
2025-06-05 02:55:00,,
2025-06-05 03:00:00,,
2025-06-05 03:05:00,,
2025-06-05 03:10:00,,
2025-06-05 03:15:00,,
2025-06-05 03:20:00,,
2025-06-05 03:25:00,,
2025-06-05 03:30:00,,
2025-06-05 03:35:00,,
2025-06-05 03:40:00,,
2025-06-05 03:45:00,,
2025-06-05 03:50:00,,
2025-06-05 03:55:00,,
2025-06-05 04:00:00,,
2025-06-05 04:05:00,,
2025-06-05 04:10:00,,
2025-06-05 04:15:00,,
2025-06-05 04:20:00,,
2025-06-05 04:25:00,,
2025-06-05 04:30:00,,
2025-06-05 04:35:00,,
2025-06-05 04:40:00,,
2025-06-05 04:45:00,,
2025-06-05 04:50:00,,
2025-06-05 04:55:00,,
2025-06-05 05:00:00,,
2025-06-05 05:05:00,,
2025-06-05 05:10:00,,
2025-06-05 05:15:00,,
2025-06-05 05:20:00,,
2025-06-05 05:25:00,,
2025-06-05 05:30:00,,
2025-06-05 05:35:00,,
2025-06-05 05:40:00,,
2025-06-05 05:45:00,,
2025-06-05 05:50:00,,
2025-06-05 05:55:00,,
2025-06-05 06:00:00,,
2025-06-05 06:05:00,,
2025-06-05 06:10:00,,
2025-06-05 06:15:00,,
2025-06-05 06:20:00,,
2025-06-05 06:25:00,,
2025-06-05 06:30:00,,
2025-06-05 06:35:00,,
2025-06-05 06:40:00,,
2025-06-05 06:45:00,,
2025-06-05 06:50:00,,
2025-06-05 06:55:00,,
2025-06-05 07:00:00,,
2025-06-05 07:05:00,,
2025-06-05 07:10:00,,
2025-06-05 07:15:00,,
2025-06-05 07:20:00,,
2025-06-05 07:25:00,,
2025-06-05 07:30:00,,
2025-06-05 07:35:00,,
2025-06-05 07:40:00,,
2025-06-05 07:45:00,,
2025-06-05 07:50:00,,
2025-06-05 07:55:00,,
2025-06-05 08:00:00,,
2025-06-05 08:05:00,,
2025-06-05 08:10:00,,
2025-06-05 08:15:00,,
2025-06-05 08:20:00,,
2025-06-05 08:25:00,,
2025-06-05 08:30:00,,
2025-06-05 08:35:00,,
2025-06-05 08:40:00,,
2025-06-05 08:45:00,,
2025-06-05 08:50:00,,
2025-06-05 08:55:00,,
2025-06-05 09:00:00,,
2025-06-05 09:05:00,,
2025-06-05 09:10:00,,
2025-06-05 09:15:00,,
2025-06-05 09:20:00,,
2025-06-05 09:25:00,,
2025-06-05 09:30:00,,
2025-06-05 09:35:00,,
2025-06-05 09:40:00,,
2025-06-05 09:45:00,,
2025-06-05 09:50:00,,
2025-06-05 09:55:00,,
2025-06-05 10:00:00,,
2025-06-05 10:05:00,,
2025-06-05 10:10:00,,
2025-06-05 10:15:00,,
2025-06-05 10:20:00,,
2025-06-05 10:25:00,,
2025-06-05 10:30:00,,
2025-06-05 10:35:00,,
2025-06-05 10:40:00,,
2025-06-05 10:45:00,,
2025-06-05 10:50:00,,
2025-06-05 10:55:00,,
2025-06-05 11:00:00,,
2025-06-05 11:05:00,,
2025-06-05 11:10:00,,
2025-06-05 11:15:00,,
2025-06-05 11:20:00,,
2025-06-05 11:25:00,,
2025-06-05 11:30:00,,
2025-06-05 11:35:00,,
2025-06-05 11:40:00,,
2025-06-05 11:45:00,,
2025-06-05 11:50:00,,
2025-06-05 11:55:00,,
2025-06-05 12:00:00,,
2025-06-05 12:05:00,,
2025-06-05 12:10:00,,
2025-06-05 12:15:00,,
2025-06-05 12:20:00,,
2025-06-05 12:25:00,,
2025-06-05 12:30:00,,
2025-06-05 12:35:00,,
2025-06-05 12:40:00,,
2025-06-05 12:45:00,,
2025-06-05 12:50:00,,
2025-06-05 12:55:00,,
2025-06-05 13:00:00,,
2025-06-05 13:05:00,,
2025-06-05 13:10:00,52755,74358
2025-06-05 13:15:00,28601,43253

